Leeftijd,Gewicht,Brandstof,Aantal zitplaatsen,Aantal wielen,Aantal deuren,Voertuigsoort
1,249,Benzine,1,2,0,Motorfiets
11,405,Geen,0,2,0,Aanhangwagen
2,1305,Benzine,5,4,5,Personenauto
6,1060,Elektriciteit,5,4,4,Personenauto
19,1060,Geen,0,6,0,Aanhangwagen
39,330,Geen,0,2,0,Aanhangwagen
6,1499,Benzine,5,4,5,Personenauto
37,10310,Diesel,10,4,2,Bus
25,1017,Geen,0,2,0,Aanhangwagen
14,840,Geen,0,2,0,Aanhangwagen
17,208,Benzine,2,2,0,Motorfiets
3,13824,Diesel,57,4,2,Bus
7,12356,Diesel,48,4,2,Bus
13,11430,Diesel,34,4,2,Bus
14,8728,Diesel,39,4,2,Bus
12,775,Benzine,4,4,2,Personenauto
24,320,Geen,0,2,0,Aanhangwagen
9,1632,Benzine,4,4,4,Personenauto
11,196,Benzine,2,2,0,Motorfiets
2,12060,Elektriciteit,36,6,2,Bus
8,1147,Benzine,5,4,5,Personenauto
16,1016,Geen,0,2,0,Aanhangwagen
13,11077,Diesel,29,4,5,Bus
12,17100,Diesel,46,6,2,Bus
25,415,Geen,0,2,0,Aanhangwagen
6,830,Benzine,4,4,4,Personenauto
0,1072,Benzine,5,4,5,Personenauto
0,236,Benzine,2,2,0,Motorfiets
2,17241,Elektriciteit,48,10,3,Bus
6,1508,Diesel,5,4,5,Personenauto
25,7745,Diesel,45,4,4,Bus
4,17380,Diesel,88,8,2,Bus
7,840,Benzine,4,4,2,Personenauto
12,204,Benzine,2,2,0,Motorfiets
2,13595,Elektriciteit,34,6,4,Bus
34,446,Geen,0,2,0,Aanhangwagen
12,720,Geen,0,2,0,Aanhangwagen
14,890,Geen,0,2,0,Aanhangwagen
14,1004,Geen,0,2,0,Aanhangwagen
1,161,Benzine,2,2,0,Motorfiets
27,3890,Geen,0,2,0,Aanhangwagen
4,9150,Diesel,43,6,4,Bus
29,810,Geen,0,2,0,Aanhangwagen
3,1148,Benzine,5,4,4,Personenauto
13,355,Benzine,2,2,0,Motorfiets
